motif	human_ensembl_gene_id	mouse_ensembl_gene_id	mouse_gene_name
EVX2	ENSG00000174279	ENSMUSG00000001815	Evx2
FERD3L	ENSG00000146618	ENSMUSG00000046518	Ferd3l
FEV	ENSG00000163497	ENSMUSG00000055197	Fev
FIGLA	ENSG00000183733	ENSMUSG00000030001	Figla
FLI1	ENSG00000151702	ENSMUSG00000016087	Fli1
FOS	ENSG00000170345	ENSMUSG00000021250	Fos
FOSL1	ENSG00000175592	ENSMUSG00000024912	Fosl1
FOSL2	ENSG00000075426	ENSMUSG00000029135	Fosl2
FOXA1	ENSG00000129514	ENSMUSG00000035451	Foxa1
Foxa2	ENSG00000125798	ENSMUSG00000037025	Foxa2
FOXA3	ENSG00000170608	ENSMUSG00000040891	Foxa3
FOXB1	ENSG00000171956	ENSMUSG00000059246	Foxb1
FOXC1	ENSG00000054598	ENSMUSG00000050295	Foxc1
FOXC2	ENSG00000176692	ENSMUSG00000046714	Foxc2
FOXD1	ENSG00000251493	ENSMUSG00000078302	Foxd1
FOXD2	ENSG00000186564	ENSMUSG00000055210	Foxd2
Foxd3	ENSG00000187140	ENSMUSG00000067261	Foxd3
FOXE1	ENSG00000178919	ENSMUSG00000070990	Foxe1
Foxf1	ENSG00000103241	ENSMUSG00000042812	Foxf1
FOXF2	ENSG00000137273	ENSMUSG00000038402	Foxf2
FOXG1	ENSG00000176165	ENSMUSG00000020950	Foxg1
FOXH1	ENSG00000160973	ENSMUSG00000033837	Foxh1
FOXI1	ENSG00000168269	ENSMUSG00000047861	Foxi1
Foxj2	ENSG00000065970	ENSMUSG00000003154	Foxj2
Foxj3	ENSG00000198815	ENSMUSG00000032998	Foxj3
Foxk1	ENSG00000164916	ENSMUSG00000056493	Foxk1
FOXK2	ENSG00000141568	ENSMUSG00000039275	Foxk2
FOXL1	ENSG00000176678	ENSMUSG00000097084	Foxl1
Foxl2	ENSG00000183770	ENSMUSG00000050397	Foxl2
FOXN3	ENSG00000053254	ENSMUSG00000033713	Foxn3
Foxo1	ENSG00000150907	ENSMUSG00000044167	Foxo1
FOXO3	ENSG00000118689	ENSMUSG00000048756	Foxo3
FOXO4	ENSG00000184481	ENSMUSG00000042903	Foxo4
FOXO6	ENSG00000204060	ENSMUSG00000052135	Foxo6
FOXP1	ENSG00000114861	ENSMUSG00000030067	Foxp1
FOXP2	ENSG00000128573	ENSMUSG00000029563	Foxp2
FOXP3	ENSG00000049768	ENSMUSG00000039521	Foxp3
Foxq1	ENSG00000164379	ENSMUSG00000038415	Foxq1
Gabpa	ENSG00000154727	ENSMUSG00000008976	Gabpa
Gata1	ENSG00000102145	ENSMUSG00000031162	Gata1
GATA2	ENSG00000179348	ENSMUSG00000015053	Gata2
GATA3	ENSG00000107485	ENSMUSG00000015619	Gata3
Gata4	ENSG00000136574	ENSMUSG00000021944	Gata4
GATA5	ENSG00000130700	ENSMUSG00000015627	Gata5
GATA6	ENSG00000141448	ENSMUSG00000005836	Gata6
GBX1	ENSG00000164900	ENSMUSG00000067724	Gbx1
GBX2	ENSG00000168505	ENSMUSG00000034486	Gbx2
GCM1	ENSG00000137270	ENSMUSG00000023333	Gcm1
GCM2	ENSG00000124827	ENSMUSG00000021362	Gcm2
Gfi1b	ENSG00000165702	ENSMUSG00000026815	Gfi1b
Gfi1	ENSG00000162676	ENSMUSG00000029275	Gfi1
GLI2	ENSG00000074047	ENSMUSG00000048402	Gli2
GLI3	ENSG00000106571	ENSMUSG00000021318	Gli3
GLIS1	ENSG00000174332	ENSMUSG00000034762	Glis1
GLIS2	ENSG00000126603	ENSMUSG00000014303	Glis2
GLIS3	ENSG00000107249	ENSMUSG00000052942	Glis3
Gmeb1	ENSG00000162419	ENSMUSG00000028901	Gmeb1
GMEB2	ENSG00000101216	ENSMUSG00000038705	Gmeb2
GRHL1	ENSG00000134317	ENSMUSG00000020656	Grhl1
GRHL2	ENSG00000083307	ENSMUSG00000022286	Grhl2
GSC2	ENSG00000063515	ENSMUSG00000022738	Gsc2
GSC	ENSG00000133937	ENSMUSG00000021095	Gsc
GSX1	ENSG00000169840	ENSMUSG00000053129	Gsx1
GSX2	ENSG00000180613	ENSMUSG00000035946	Gsx2
HAND2	ENSG00000164107	ENSMUSG00000038193	Hand2
Hes1	ENSG00000114315	ENSMUSG00000022528	Hes1
Hes2	ENSG00000069812	ENSMUSG00000028940	Hes2
HES5	ENSG00000197921	ENSMUSG00000048001	Hes5
HES6	ENSG00000144485	ENSMUSG00000067071	Hes6
HES7	ENSG00000179111	ENSMUSG00000023781	Hes7
HESX1	ENSG00000163666	ENSMUSG00000040726	Hesx1
HEY1	ENSG00000164683	ENSMUSG00000040289	Hey1
HEY2	ENSG00000135547	ENSMUSG00000019789	Hey2
Hic1	ENSG00000177374	ENSMUSG00000043099	Hic1
HIC2	ENSG00000169635	ENSMUSG00000050240	Hic2
HIF1A	ENSG00000100644	ENSMUSG00000021109	Hif1a
HINFP	ENSG00000172273	ENSMUSG00000032119	Hinfp
HLF	ENSG00000108924	ENSMUSG00000003949	Hlf
HLTF	ENSG00000071794	ENSMUSG00000002428	Hltf
HMBOX1	ENSG00000147421	ENSMUSG00000021972	Hmbox1
Hmx1	ENSG00000215612	ENSMUSG00000067438	Hmx1
Hmx2	ENSG00000188816	ENSMUSG00000050100	Hmx2
Hmx3	ENSG00000188620	ENSMUSG00000040148	Hmx3
HNF1A	ENSG00000135100	ENSMUSG00000029556	Hnf1a
HNF1B	ENSG00000275410	ENSMUSG00000020679	Hnf1b
Hnf4a	ENSG00000101076	ENSMUSG00000017950	Hnf4a
HNF4G	ENSG00000164749	ENSMUSG00000017688	Hnf4g
HOXA10	ENSG00000253293	ENSMUSG00000000938	Hoxa10
Hoxa11	ENSG00000005073	ENSMUSG00000038210	Hoxa11
HOXA13	ENSG00000106031	ENSMUSG00000038203	Hoxa13
HOXA1	ENSG00000105991	ENSMUSG00000029844	Hoxa1
HOXA2	ENSG00000105996	ENSMUSG00000014704	Hoxa2
HOXA4	ENSG00000197576	ENSMUSG00000000942	Hoxa4
HOXA5	ENSG00000106004	ENSMUSG00000038253	Hoxa5
HOXA6	ENSG00000106006	ENSMUSG00000043219	Hoxa6
HOXA7	ENSG00000122592	ENSMUSG00000038236	Hoxa7
Hoxa9	ENSG00000078399	ENSMUSG00000038227	Hoxa9
HOXB13	ENSG00000159184	ENSMUSG00000049604	Hoxb13
HOXB2	ENSG00000173917	ENSMUSG00000075588	Hoxb2
HOXB3	ENSG00000120093	ENSMUSG00000048763	Hoxb3
HOXB4	ENSG00000182742	ENSMUSG00000038692	Hoxb4
Hoxb5	ENSG00000120075	ENSMUSG00000038700	Hoxb5
HOXB6	ENSG00000108511	ENSMUSG00000000690	Hoxb6
HOXB7	ENSG00000260027	ENSMUSG00000038721	Hoxb7
HOXB8	ENSG00000120068	ENSMUSG00000056648	Hoxb8
HOXB9	ENSG00000170689	ENSMUSG00000020875	Hoxb9
HOXC10	ENSG00000180818	ENSMUSG00000022484	Hoxc10
HOXC11	ENSG00000123388	ENSMUSG00000001656	Hoxc11
HOXC12	ENSG00000123407	ENSMUSG00000050328	Hoxc12
HOXC13	ENSG00000123364	ENSMUSG00000001655	Hoxc13
HOXC4	ENSG00000198353	ENSMUSG00000075394	Hoxc4
HOXC8	ENSG00000037965	ENSMUSG00000001657	Hoxc8
Hoxc9	ENSG00000180806	ENSMUSG00000036139	Hoxc9
HOXD10	ENSG00000128710	ENSMUSG00000050368	Hoxd10
HOXD11	ENSG00000128713	ENSMUSG00000042499	Hoxd11
HOXD12	ENSG00000170178	ENSMUSG00000001823	Hoxd12
HOXD13	ENSG00000128714	ENSMUSG00000001819	Hoxd13
Hoxd3	ENSG00000128652	ENSMUSG00000079277	Hoxd3
HOXD4	ENSG00000170166	ENSMUSG00000101174	Hoxd4
Hoxd8	ENSG00000175879	ENSMUSG00000027102	Hoxd8
Hoxd9	ENSG00000128709	ENSMUSG00000043342	Hoxd9
HSF1	ENSG00000185122	ENSMUSG00000022556	Hsf1
HSF2	ENSG00000025156	ENSMUSG00000019878	Hsf2
HSF4	ENSG00000102878	ENSMUSG00000033249	Hsf4
IKZF1	ENSG00000185811	ENSMUSG00000018654	Ikzf1
INSM1	ENSG00000173404	ENSMUSG00000068154	Insm1
IRF1	ENSG00000125347	ENSMUSG00000018899	Irf1
IRF2	ENSG00000168310	ENSMUSG00000031627	Irf2
IRF3	ENSG00000126456	ENSMUSG00000003184	Irf3
IRF4	ENSG00000137265	ENSMUSG00000021356	Irf4
IRF5	ENSG00000128604	ENSMUSG00000029771	Irf5
IRF6	ENSG00000117595	ENSMUSG00000026638	Irf6
IRF7	ENSG00000185507	ENSMUSG00000025498	Irf7
IRF8	ENSG00000140968	ENSMUSG00000041515	Irf8
IRF9	ENSG00000213928	ENSMUSG00000002325	Irf9
Isl1	ENSG00000016082	ENSMUSG00000042258	Isl1
ISL2	ENSG00000159556	ENSMUSG00000032318	Isl2
ISX	ENSG00000175329	ENSMUSG00000031621	Isx
JDP2	ENSG00000140044	ENSMUSG00000034271	Jdp2
JUNB	ENSG00000171223	ENSMUSG00000052837	Junb
JUND	ENSG00000130522	ENSMUSG00000071076	Jund
JUN	ENSG00000177606	ENSMUSG00000052684	Jun
KLF10	ENSG00000155090	ENSMUSG00000037465	Klf10
KLF11	ENSG00000172059	ENSMUSG00000020653	Klf11
Klf12	ENSG00000118922	ENSMUSG00000072294	Klf12
KLF13	ENSG00000169926	ENSMUSG00000052040	Klf13
KLF14	ENSG00000266265	ENSMUSG00000073209	Klf14
KLF15	ENSG00000163884	ENSMUSG00000030087	Klf15
KLF16	ENSG00000129911	ENSMUSG00000035397	Klf16
KLF17	ENSG00000171872	ENSMUSG00000048626	Klf17
Klf1	ENSG00000105610	ENSMUSG00000054191	Klf1
KLF2	ENSG00000127528	ENSMUSG00000055148	Klf2
KLF3	ENSG00000109787	ENSMUSG00000029178	Klf3
Klf4	ENSG00000136826	ENSMUSG00000003032	Klf4
KLF5	ENSG00000102554	ENSMUSG00000005148	Klf5
KLF6	ENSG00000067082	ENSMUSG00000000078	Klf6
KLF9	ENSG00000119138	ENSMUSG00000033863	Klf9
LBX1	ENSG00000138136	ENSMUSG00000025216	Lbx1
LBX2	ENSG00000179528	ENSMUSG00000034968	Lbx2
LEF1	ENSG00000138795	ENSMUSG00000027985	Lef1
LHX1	ENSG00000273706	ENSMUSG00000018698	Lhx1
LHX2	ENSG00000106689	ENSMUSG00000000247	Lhx2
Lhx3	ENSG00000107187	ENSMUSG00000026934	Lhx3
Lhx4	ENSG00000121454	ENSMUSG00000026468	Lhx4
LHX5	ENSG00000089116	ENSMUSG00000029595	Lhx5
LHX6	ENSG00000106852	ENSMUSG00000026890	Lhx6
Lhx8	ENSG00000162624	ENSMUSG00000096225	Lhx8
LHX9	ENSG00000143355	ENSMUSG00000019230	Lhx9
LIN54	ENSG00000189308	ENSMUSG00000118665	Lin54
LMX1A	ENSG00000162761	ENSMUSG00000026686	Lmx1a
LMX1B	ENSG00000136944	ENSMUSG00000038765	Lmx1b
MAFA	ENSG00000182759	ENSMUSG00000047591	Mafa
Mafb_1	ENSG00000204103	ENSMUSG00000074622	Mafb
MAF	ENSG00000178573	ENSMUSG00000055435	Maf
MAFF	ENSG00000185022	ENSMUSG00000042622	Maff
MAFG	ENSG00000197063	ENSMUSG00000051510	Mafg
Mafk_1	ENSG00000198517	ENSMUSG00000018143	Mafk
Max_1	ENSG00000125952	ENSMUSG00000059436	Max
MAZ	ENSG00000103495	ENSMUSG00000030678	Maz
Mecom	ENSG00000085276	ENSMUSG00000027684	Mecom
MEF2A	ENSG00000068305	ENSMUSG00000030557	Mef2a
MEF2B	ENSG00000213999	ENSMUSG00000079033	Mef2b
MEF2C	ENSG00000081189	ENSMUSG00000005583	Mef2c
MEF2D	ENSG00000116604	ENSMUSG00000001419	Mef2d
Meis1	ENSG00000143995	ENSMUSG00000020160	Meis1
MEIS2	ENSG00000134138	ENSMUSG00000027210	Meis2
MEIS3	ENSG00000105419	ENSMUSG00000041420	Meis3
MEOX1	ENSG00000005102	ENSMUSG00000001493	Meox1
MEOX2	ENSG00000106511	ENSMUSG00000036144	Meox2
MGA	ENSG00000174197	ENSMUSG00000033943	Mga
Mitf	ENSG00000187098	ENSMUSG00000035158	Mitf
mix-a	ENSG00000185155	ENSMUSG00000026497	Mixl1
MLX	ENSG00000108788	ENSMUSG00000017801	Mlx
Mlxip	ENSG00000175727	ENSMUSG00000038342	Mlxip
MLXIPL	ENSG00000009950	ENSMUSG00000005373	Mlxipl
MNT	ENSG00000070444	ENSMUSG00000000282	Mnt
MNX1	ENSG00000130675	ENSMUSG00000001566	Mnx1
MSANTD3	ENSG00000066697	ENSMUSG00000039693	Msantd3
MSC	ENSG00000178860	ENSMUSG00000025930	Msc
MSGN1	ENSG00000151379	ENSMUSG00000047002	Msgn1
MSX1	ENSG00000163132	ENSMUSG00000048450	Msx1
MSX2	ENSG00000120149	ENSMUSG00000021469	Msx2
MTF1	ENSG00000188786	ENSMUSG00000028890	Mtf1
MXI1	ENSG00000119950	ENSMUSG00000025025	Mxi1
Myb	ENSG00000118513	ENSMUSG00000019982	Myb
MYBL1	ENSG00000185697	ENSMUSG00000025912	Mybl1
MYBL2	ENSG00000101057	ENSMUSG00000017861	Mybl2
Myc	ENSG00000136997	ENSMUSG00000022346	Myc
Mycn	ENSG00000134323	ENSMUSG00000044597	Mycs
MYF5	ENSG00000111049	ENSMUSG00000000435	Myf5
MYF6	ENSG00000111046	ENSMUSG00000035923	Myf6
Myod1	ENSG00000129152	ENSMUSG00000009471	Myod1
Myog	ENSG00000122180	ENSMUSG00000026459	Myog
MZF1	ENSG00000099326	ENSMUSG00000030380	Mzf1
NEUROD1	ENSG00000162992	ENSMUSG00000034701	Neurod1
NEUROD2	ENSG00000171532	ENSMUSG00000038255	Neurod2
Neurog1	ENSG00000181965	ENSMUSG00000048904	Neurog1
NEUROG2	ENSG00000178403	ENSMUSG00000027967	Neurog2
NFAT5	ENSG00000102908	ENSMUSG00000003847	Nfat5
NFATC1	ENSG00000131196	ENSMUSG00000033016	Nfatc1
NFATC2	ENSG00000101096	ENSMUSG00000027544	Nfatc2
NFATC3	ENSG00000072736	ENSMUSG00000031902	Nfatc3
NFATC4	ENSG00000100968	ENSMUSG00000023411	Nfatc4
NFE2	ENSG00000123405	ENSMUSG00000058794	Nfe2
NFE2L1	ENSG00000082641	ENSMUSG00000038615	Nfe2l1
Nfe2l2	ENSG00000116044	ENSMUSG00000015839	Nfe2l2
NFIA	ENSG00000162599	ENSMUSG00000028565	Nfia
NFIB	ENSG00000147862	ENSMUSG00000008575	Nfib
NFIC	ENSG00000141905	ENSMUSG00000055053	Nfic
NFIL3	ENSG00000165030	ENSMUSG00000056749	Nfil3
NFIX	ENSG00000008441	ENSMUSG00000001911	Nfix
NFKB1	ENSG00000109320	ENSMUSG00000028163	Nfkb1
NFKB2	ENSG00000077150	ENSMUSG00000025225	Nfkb2
NFYA	ENSG00000001167	ENSMUSG00000023994	Nfya
NFYB	ENSG00000120837	ENSMUSG00000020248	Nfyb
NFYC	ENSG00000066136	ENSMUSG00000032897	Nfyc
NHLH1	ENSG00000171786	ENSMUSG00000051251	Nhlh1
NHLH2	ENSG00000177551	ENSMUSG00000048540	Nhlh2
NKX2-2	ENSG00000125820	ENSMUSG00000027434	Nkx2-2
NKX2-3	ENSG00000119919	ENSMUSG00000044220	Nkx2-3
Nkx2-5	ENSG00000183072	ENSMUSG00000015579	Nkx2-5
NKX2-8	ENSG00000136327	ENSMUSG00000058669	Nkx2-9
Nkx3-1	ENSG00000167034	ENSMUSG00000022061	Nkx3-1
Nkx3-2	ENSG00000109705	ENSMUSG00000049691	Nkx3-2
NKX6-1	ENSG00000163623	ENSMUSG00000035187	Nkx6-1
NKX6-2	ENSG00000148826	ENSMUSG00000041309	Nkx6-2
NKX6-3	ENSG00000165066	ENSMUSG00000063672	Nkx6-3
Nobox	ENSG00000106410	ENSMUSG00000029736	Nobox
NOTO	ENSG00000214513	ENSMUSG00000068302	Noto
Npas2	ENSG00000170485	ENSMUSG00000026077	Npas2
NR1D1	ENSG00000126368	ENSMUSG00000020889	Nr1d1
NR1D2	ENSG00000174738	ENSMUSG00000021775	Nr1d2
NR1H4	ENSG00000012504	ENSMUSG00000047638	Nr1h4
NR1I2	ENSG00000144852	ENSMUSG00000022809	Nr1i2
NR1I3	ENSG00000143257	ENSMUSG00000005677	Nr1i3
NR2C1	ENSG00000120798	ENSMUSG00000005897	Nr2c1
NR2C2	ENSG00000177463	ENSMUSG00000005893	Nr2c2
Nr2e1	ENSG00000112333	ENSMUSG00000019803	Nr2e1
Nr2e3	ENSG00000278570	ENSMUSG00000032292	Nr2e3
NR2F1	ENSG00000175745	ENSMUSG00000069171	Nr2f1
NR2F2	ENSG00000185551	ENSMUSG00000030551	Nr2f2
Nr2f6	ENSG00000160113	ENSMUSG00000002393	Nr2f6
NR3C1	ENSG00000113580	ENSMUSG00000024431	Nr3c1
NR3C2	ENSG00000151623	ENSMUSG00000031618	Nr3c2
NR4A1	ENSG00000123358	ENSMUSG00000023034	Nr4a1
NR4A2	ENSG00000153234	ENSMUSG00000026826	Nr4a2
NR5A1	ENSG00000136931	ENSMUSG00000026751	Nr5a1
Nr5a2	ENSG00000116833	ENSMUSG00000026398	Nr5a2
NR6A1	ENSG00000148200	ENSMUSG00000063972	Nr6a1
NRF1	ENSG00000106459	ENSMUSG00000058440	Nrf1
NRL	ENSG00000129535	ENSMUSG00000040632	Nrl
OLIG1	ENSG00000184221	ENSMUSG00000046160	Olig1
OLIG2	ENSG00000205927	ENSMUSG00000039830	Olig2
OLIG3	ENSG00000177468	ENSMUSG00000045591	Olig3
ONECUT1	ENSG00000169856	ENSMUSG00000043013	Onecut1
ONECUT2	ENSG00000119547	ENSMUSG00000045991	Onecut2
ONECUT3	ENSG00000205922	ENSMUSG00000045518	Onecut3
OSR1	ENSG00000143867	ENSMUSG00000048387	Osr1
OSR2	ENSG00000164920	ENSMUSG00000022330	Osr2
OTX1	ENSG00000115507	ENSMUSG00000005917	Otx1
OTX2	ENSG00000165588	ENSMUSG00000021848	Otx2
OVOL1	ENSG00000172818	ENSMUSG00000024922	Ovol1
OVOL2	ENSG00000125850	ENSMUSG00000037279	Ovol2
PAX1	ENSG00000125813	ENSMUSG00000037034	Pax1
Pax2	ENSG00000075891	ENSMUSG00000004231	Pax2
PAX3	ENSG00000135903	ENSMUSG00000004872	Pax3
Pax4	ENSG00000106331	ENSMUSG00000029706	Pax4
Pax5	ENSG00000196092	ENSMUSG00000014030	Pax5
PAX6	ENSG00000007372	ENSMUSG00000027168	Pax6
PAX7	ENSG00000009709	ENSMUSG00000028736	Pax7
PAX9	ENSG00000198807	ENSMUSG00000001497	Pax9
PBX1	ENSG00000185630	ENSMUSG00000052534	Pbx1
PBX2	ENSG00000204304	ENSMUSG00000034673	Pbx2
PBX3	ENSG00000167081	ENSMUSG00000038718	Pbx3
Pdx1	ENSG00000139515	ENSMUSG00000029644	Pdx1
PHOX2A	ENSG00000165462	ENSMUSG00000007946	Phox2a
Phox2b	ENSG00000109132	ENSMUSG00000012520	Phox2b
Pitx1	ENSG00000069011	ENSMUSG00000021506	Pitx1
PITX2	ENSG00000164093	ENSMUSG00000028023	Pitx2
PITX3	ENSG00000107859	ENSMUSG00000025229	Pitx3
PKNOX1	ENSG00000160199	ENSMUSG00000006705	Pknox1
PKNOX2	ENSG00000165495	ENSMUSG00000035934	Pknox2
PLAG1	ENSG00000181690	ENSMUSG00000003282	Plag1
Plagl1	ENSG00000118495	ENSMUSG00000019817	Plagl1
PLAGL2	ENSG00000126003	ENSMUSG00000051413	Plagl2
POU1F1	ENSG00000064835	ENSMUSG00000004842	Pou1f1
POU2F1	ENSG00000143190	ENSMUSG00000026565	Pou2f1
POU2F2	ENSG00000028277	ENSMUSG00000008496	Pou2f2
Pou2f3	ENSG00000137709	ENSMUSG00000032015	Pou2f3
POU3F1	ENSG00000185668	ENSMUSG00000090125	Pou3f1
POU3F2	ENSG00000184486	ENSMUSG00000095139	Pou3f2
